Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Wow....just Wow!,One person found this helpful,Jasmine F. Edwards,-,5,2020-05-15T12:59:17,Wow!....Just Wow! This stuff is amazing. It really does hydrate  smells fantastic  and is surprisingly the perfect constituency of thickness. I hate when body butters/cremes are water down and thin. I feel my skin really hydrating with this. I ve bought Jergens for years which I love but this even better. I m definitely switching! Highly recommend and for the price can t beat it!
Nivea never disappoints me!,-,Iberkis Faltas,-,5,2020-03-25T17:59:17,Love the fragrance because it smells fresh and clean  with a hit of cocoa butter. The scent is not overwhelming. Also  when I apply it  the lotion gets into the skin in no time and there is no stickiness or residues left behind. I love to soak myself in body lotion. The good thing about this one is that I don t have to walk around the room for the lotion to dry on my body because it drys almost instantly. Good work Nivea! You should try it.
BEST LOTION OUT THERE!,One person found this helpful,Steph01,-,5,2020-08-01T17:23:17,MY FAVORITE LOTION EVER!!! I have always had a rough time finding a lotion that really moisturizes. I also have suffered with restless legs for a long time. This lotion is the best! Ever since I started using it my restless legs are gone and it keeps me moisturized all day. Great scent too! I always buy 3 when I purchase this. Great value too! Highly recommend I do not use any other lotion.
Buy at your own risk! They sent me a sketchy open package and won't return  replace or refund me.,20 people found this helpful,imanun2imanun2,https://images-na.ssl-images-amazon.com/images/I/81MMu4RS-XL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/81ueX31S8EL._SY300.jpg,1,2020-07-16T12:59:17,I love this body cream. It works well  smells great and is high quality. It also has lasting effects. I use this almost exclusively during winter months. I d honestly recommend it to everyone.However...I do not love the fact that I was sent an unlidded  unsealed and open jar that was all over inside the box when I opened it. I went through the entire  packaging was good  item was damaged  procedure online  only to be told by Amazon this item isn t eligible at all. I find this to be unacceptable.There s no reason not to refund or replace this body cream. I shouldn t be stuck paying for an unusable damaged item. That s not what I bought and paid for.Please note: I have ordered this same product from Amazon at least 8 times previous. 7 of those 8 jars came in shrink wrap plastic. Which prevents these problems from occurring.This entire fiasco has been incredibly frustrating  and not really worth the time  stress  or money involved. Complete Amazon fail.Buyer beware! Do so at your own risk! If they send you an open package  you re stuck paying for it  regardless  just like me.
Love this,One person found this helpful,ESchulm,-,5,2020-09-18T17:59:17,Nivea has been a staple even growing up  my grandma swore by it  she only used Nivea  she had great skin even when she got up into her 80s. It is really smooth and not too overpowering smelling. I highly recommend this cream.
Soft and silky skin,-,Bocce Girl,-,5,2020-08-22T17:59:17,I use Nivea moisturizers daily  the Cocoa Butter Cream is the perfect body moisturizer. This cream absorbs into my skin immediately when I get out of the shower and does not leave my skin feeling oily. The Cocoa Butter has a slight tropical smell when you first apply it but it goes away quickly. I recommend trying this if you want soft  silky skin that looks as good as it feels.
Great product,-,Hauservi,-,5,2020-01-18T17:53:17,I have this on Subscribe and Save and LOVE everything about it. I live in a High Dessert community and in the Winter my skin gets so dry it hurts... This product is perfect to put next to your bed and moisturize your skin  after a bath  and before you go to sleep at night. I stay moisturized for 2-3 days.
Great for very dry skin,-,Raine,-,5,2020-04-17T17:59:17,I have a severe skin condition that gets irritated at almost everything I try and put on my skin. My skin gets very dry so I have to keep lotion  oil  or moisturizer on multiple times a day. This is some of the best body cream I ve found. It keeps my skin well hydrated  it doesn t break me out  and it has a decent smell to it. The fact that it is inexpensive too makes it wonderful. I usually have to spend TONS of money on skin care because of my skin condition. I just went thru my first jar and have ordered 2 more. I m so glad I found this product.
Perfect for Dry Climates,One person found this helpful,Jnghiem,-,5,2020-09-25T15:59:17,I spent the summer in El Paso and this saved my skin. Before  I would wake up at night scratching my legs bc of the climate despite moisturizing with a different lotion. Since using this lotion  not once have I woke up and scratched my self. The scent is a bit much but for all the moisturizing it does  I could care less. It is a bit thick of a texture but absorbs quite well. I will be using this in the winters as well. It is a very good value and I ve been using it nightly for two months and still have 75% of the product left.
O. M. Goodness!!,One person found this helpful,Jennifer DeBord,-,5,2020-09-18T17:59:17,This stuff is the shtuff!! My skin hasn t been this smooth since my 20 s! I love  love  love this cream. A friend recently turned me on to this  I used hers  loved it and immediately bought two tubs. I use it every night  right after my shower. I typically forget to put lotion on but now I can t wait for my shower so I can put this on. If you re on the fence  not knowing if it s really all that good  it s like what $6.00? What are you really out? But trust me  it s SO worth it! I d still buy it if it were twice that. 
